Name,Description,Skills,Status,Tags,Thumbnail,Type
RK3568 small tablet with AMOLED screen,"This is a small tablet computer based on the Rockchip RK3568 processor. It can run Android and Linux systems. It is equipped with a 3.92-inch 1080x1240 resolution touch AMOLED display screen, built-in WiFi and Bluetooth module, 2G running memory, built-in 64 GB eMMC, can be connected to an external TF card, and is powered by a TYPE-C port.","EasyEDA, Android",Completed,"Embedded Systems, Hardware Design, Prototyping",Innovative%20Product%20Development/My%20Projects/RK3568%20small%20tablet%20with%20AMOLED%20screen/920129874b97484982e46e9685c867b8.jpg,Project
Nordic SoC Bluetooth-Cellular Gateway,This is a gateway to transfer real-time data from BLE mesh sensors to the AWS server.,"Altium Designer, Zephyr, AWS IoT Core, SolidWorks",Completed,"Cloud Integration, Firmware Development, Hardware Design, Production-Ready, Prototyping",Innovative%20Product%20Development/My%20Projects/Nordic%20SoC%20Bluetooth-Cellular%20Gateway/GearTrak_01_BLK.jpg,Project
ZYNQ7020 Core & RF Modules,"ZYNQ7020 core board, 170MSPS ADC, 210MSPS DAC, 1.6GSPS 16-bit DAC, 9GHz PLL, 500MSPS 12-bit ADC, etc.","EasyEDA, Vivado",Completed,"Firmware Development, Hardware Design, Production-Ready, Prototyping",Innovative%20Product%20Development/My%20Projects/ZYNQ7020%20Core%20&%20RF%20Modules/Zynq7020_Core.png,Project
ESP32-S3 based UVC & Ballast Monitoring System,ESP32-S3 based UVC Sensor and UVC lamps & Ballasts Monitoring Sensor,"ESP-IDF, Flutter, AWS",Completed,"Cloud Integration, Firmware Development, Hardware Design, Mobile Development, Prototyping",Innovative%20Product%20Development/My%20Projects/ESP32-S3%20based%20UVC%20&%20Ballast%20Monitoring%20System/ConfluenceAI_UVC_monitor.png,Project
Outdoor Air Quality Monitoring System,Revolutionizing Air Quality Monitoring with cutting-edge technology for better accuracy and reliability with seamless connectivity and comprehensive data access.,"ESP-IDF, Altium Designer, LoRa/LoRaWAN, 4G/LTE, React Native, Node.JS, AWS",Completed,"Cloud Integration, Firmware Development, Hardware Design, Mobile Development, Production-Ready",Innovative%20Product%20Development/My%20Projects/Outdoor%20Air%20Quality%20Monitoring%20System/Prana_Air_Monitor_example.png,Project
3-Phase Power Monitoring Sensor,"A custom 3-phase power monitoring sensor designed for accurate power quality analysis and fault detection. The device combines advanced analog front-end components with a low-power wireless microcontroller, ensuring reliable measurement, data logging, and cloud connectivity over a gateway.","Altium Designer, Zephyr, Bluetooth Mesh",Completed,"Firmware Development, Hardware Design, Prototyping",Innovative%20Product%20Development/My%20Projects/3-Phase%20Power%20Monitoring%20Sensor/PowerPod.png,Project
Multifunctional Atmosphere Light - ESP32-C3,"This project showcases a multifunctional atmosphere light built around the ESP32-C3, combining rich RGB lighting effects with audio playback in a sleek cylindrical form factor. The device demonstrates my capability to integrate custom electronics, embedded firmware, and enclosure design into a unified product.","Altium Designer, ESP-IDF, SolidWorks, 3D-Printing",Completed,"Firmware Development, Hardware Design, Mobile Development, Production-Ready, Prototyping",Innovative%20Product%20Development/My%20Projects/Multifunctional%20Atmosphere%20Light%20-%20ESP32-C3/cover.jpg,Project
Bionic Quadruped Robot Dog,This project aims to independently develop a high-performance robot dog capable of free movement in three-dimensional space.,"Jetson Orin NX-ROS2, STM32H750, Lidar-based Slam, depth camera, Xiaomi Motor",Completed,"Embedded Systems, Firmware Development, Hardware Design, Prototyping, Robotics",Innovative%20Product%20Development/My%20Projects/Bionic%20Quadruped%20Robot%20Dog/RoboticDog.jpg,Project
RV1106 AI Camera,This is a RV1106-based AI camera.,"PCB Design, Embedded Linux, LVGL",Completed,"Embedded Systems, Hardware Design, Prototyping",Innovative%20Product%20Development/My%20Projects/RV1106%20AI%20Camera/cover.png,Project
CAN Network Vehicle Terminal,"This CAN network in-vehicle terminal, based on the STM32 and Quectel EC20, supports customizable CAN data decoding scripts and firmware upgrades via CAN and OTA. It features offline data storage, GPS vehicle positioning, MQTT communication, and access to the AWS IoT platform.","Altium Designer, STM32Cube, LTE, GNSS, CAN-Bus, MQTT, Prototyping ",Completed,"Cloud Integration, Firmware Development, Hardware Design, Production-Ready, Prototyping",Innovative%20Product%20Development/My%20Projects/CAN%20Network%20Vehicle%20Terminal/cover.png,Project
